,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
IL -- GRUNDY (County),108,63,101,128,197,179,164,138,160,966,36,1,6,13,216,0,5,8,38,47,74,89,105,249,619,4,4,16,17,28,72,190,340,53,404,46,50,14,4,166,111,671,290,0,596,318,0,324,0,0,1238
IL -- HAMILTON (County),9,7,5,8,12,11,22,17,22,98,1,0,0,0,14,0,0,2,1,4,2,4,5,22,72,1,3,6,5,3,16,30,34,0,16,0,0,0,0,0,8,70,35,0,71,31,0,11,0,0,113
IL -- HANCOCK (County),45,23,26,33,57,60,63,65,72,395,2,1,0,0,46,0,1,2,5,9,14,19,21,66,305,2,0,26,28,22,62,118,97,0,87,3,1,0,0,3,18,329,94,0,271,80,0,93,0,0,444
IL -- HARDIN (County),4,2,3,3,1,6,7,7,4,33,0,0,0,0,4,0,0,1,0,0,0,5,3,3,25,0,1,5,2,6,5,14,3,0,1,0,0,0,0,0,1,22,14,0,22,12,0,3,0,0,37
IL -- HENDERSON (County),12,8,5,13,17,12,14,14,17,97,0,0,0,0,15,0,0,1,1,1,4,5,12,22,66,0,2,10,4,7,14,44,18,3,9,0,1,0,0,1,9,66,36,0,58,38,0,16,0,0,112
IL -- HENRY (County),124,78,97,139,207,219,188,167,173,1181,20,1,0,8,182,0,5,7,35,47,53,65,95,237,845,3,5,77,42,68,174,314,316,22,337,11,16,6,4,83,139,788,382,0,637,368,0,387,0,0,1392
IL -- IROQUOIS (County),64,35,45,50,72,85,89,81,107,531,8,1,0,3,85,0,1,5,18,13,23,33,39,110,383,3,2,28,27,36,81,163,160,10,113,5,2,1,0,11,23,502,92,0,436,64,0,128,0,0,628
IL -- JACKSON (County),70,45,59,78,139,130,122,116,143,767,9,21,3,5,97,0,0,9,25,22,44,39,66,156,537,4,2,60,39,46,100,205,233,6,196,0,10,5,0,67,38,497,300,0,434,295,0,173,0,0,902
IL -- JASPER (County),7,10,12,9,25,23,34,47,51,187,0,0,0,2,29,0,0,1,8,7,16,8,9,44,123,2,0,12,7,18,24,32,62,0,59,3,1,0,0,8,4,164,42,0,141,48,0,29,0,0,218
IL -- JEFFERSON (County),87,47,61,62,97,129,110,133,151,778,7,18,0,4,70,0,0,7,21,22,37,49,62,154,520,5,3,49,24,53,145,253,191,0,137,9,13,0,0,46,28,557,246,0,470,243,0,164,0,0,877
IL -- JERSEY (County),64,40,42,50,104,98,78,84,88,567,2,0,0,3,76,0,0,4,15,19,30,39,46,126,369,0,2,31,21,20,70,152,187,13,132,14,4,2,0,5,26,430,187,0,329,150,0,169,0,0,648
IL -- JODAVIESS (County),69,38,47,57,92,105,106,94,86,581,8,0,1,7,97,0,2,4,12,14,25,18,34,95,487,3,1,17,17,28,71,145,200,7,182,8,10,6,2,18,25,460,191,0,355,171,0,168,0,0,694
IL -- JOHNSON (County),30,20,10,23,34,34,53,52,71,282,1,2,1,1,40,0,1,3,7,8,14,21,20,63,189,1,0,14,10,13,44,100,82,0,59,3,1,1,0,2,4,263,58,0,223,54,0,50,0,0,327
IL -- KANE (County),402,392,549,650,1033,987,948,954,1060,5380,413,39,46,89,1008,0,25,41,182,254,336,382,502,1399,3827,27,18,58,31,76,263,815,1217,212,2441,419,578,501,346,1235,644,3415,1681,0,3208,2323,0,1443,0,1,6975
IL -- KANKAKEE (County),247,150,165,265,383,336,338,316,314,2005,53,113,8,19,316,0,5,16,76,76,121,139,183,480,1414,4,4,84,63,81,287,554,525,49,746,43,52,19,7,257,290,1331,636,1,1174,671,0,668,0,0,2514
IL -- KENDALL (County),187,147,154,185,299,306,284,299,328,1669,132,25,8,33,322,0,14,16,72,83,157,212,248,475,909,3,7,10,7,18,53,218,386,113,904,132,164,127,50,408,180,1136,465,0,1040,649,0,500,0,0,2189
IL -- KNOX (County),137,76,77,113,206,195,139,156,160,1069,36,14,2,9,129,0,2,11,28,33,52,61,78,196,793,5,4,101,56,81,226,301,239,2,227,6,10,3,3,102,90,647,420,0,511,401,0,347,0,0,1259
IL -- LAKE (County),1393,750,753,917,1549,1560,1447,1496,1687,8441,575,295,150,241,1850,0,36,77,309,372,503,571,768,2420,6409,87,37,100,94,138,413,1266,2117,354,3532,765,876,846,1014,2087,1451,5022,2992,1,4763,4072,0,2716,0,0,11552
IL -- LASALLE (County),348,172,213,228,472,402,377,363,373,2405,72,3,7,31,430,0,15,24,73,104,134,134,173,565,1722,4,6,130,107,131,331,814,678,55,603,32,41,14,6,319,309,1439,881,0,1205,956,0,787,0,0,2948
IL -- LAWRENCE (County),20,16,11,24,20,23,28,25,34,174,2,4,0,0,21,0,0,1,5,4,10,15,12,35,119,0,1,15,11,21,48,50,30,0,22,3,0,0,0,0,12,150,39,0,116,41,0,44,0,0,201
IL -- LEE (County),83,58,67,79,118,132,139,121,121,777,18,5,1,6,111,0,4,5,29,29,45,37,69,183,512,5,2,32,21,38,105,217,230,28,216,10,15,3,1,70,54,588,206,0,500,195,0,223,0,0,918
IL -- LIVINGSTON (County),62,43,41,54,87,92,109,151,174,696,8,4,2,3,100,0,3,9,30,18,39,45,34,142,489,4,4,29,32,38,97,219,184,15,167,12,12,4,0,15,29,646,123,0,568,107,0,138,0,0,813
IL -- LOGAN (County),57,41,49,48,75,67,68,98,151,560,5,4,0,8,77,0,2,4,13,19,26,29,36,117,407,1,2,26,20,25,78,189,148,0,152,7,5,2,0,18,30,498,108,0,425,106,0,123,0,0,654
IL -- MACON (County),336,149,161,233,345,373,363,415,414,2283,8,164,5,15,314,0,7,14,71,78,97,151,162,448,1745,16,26,125,122,155,359,745,642,24,518,34,19,15,5,112,349,1571,757,0,1360,849,0,580,0,0,2789
IL -- MACOUPIN (County),140,63,92,102,198,196,211,182,171,1117,14,0,5,19,200,0,9,11,30,50,49,65,88,242,804,7,5,91,44,75,172,360,305,8,268,10,10,5,2,27,139,714,475,0,590,465,0,300,0,0,1355
IL -- MADISON (County),950,544,723,904,1528,1431,1430,1457,1411,8512,169,201,22,108,1366,0,24,59,220,319,632,607,760,1947,5788,22,29,336,208,315,925,1984,2446,105,3106,247,441,163,73,841,842,5383,3312,0,4659,3201,0,2504,0,14,10378
IL -- MARION (County),157,71,86,86,138,136,135,137,141,946,9,9,1,1,121,0,2,9,25,26,40,58,56,204,656,11,3,103,48,59,178,273,235,7,172,5,4,0,0,11,84,668,324,0,546,297,0,244,0,0,1087
IL -- MARSHALL (County),23,15,21,23,36,34,35,42,48,237,3,0,2,2,33,0,0,2,5,7,7,14,23,48,170,1,1,15,10,11,23,68,76,0,69,2,2,0,0,7,10,203,57,0,167,52,0,58,0,0,277
IL -- MASON (County),32,23,24,16,62,47,37,51,53,297,2,0,0,3,43,0,2,2,6,7,9,17,18,66,214,4,2,29,17,30,51,114,48,3,45,4,0,2,0,8,24,187,126,0,144,123,0,78,0,0,345
IL -- MASSAC (County),47,20,25,23,45,36,32,34,83,317,0,1,0,0,27,0,1,4,10,11,14,18,13,59,213,2,0,25,12,12,56,115,74,0,51,0,0,0,0,1,23,240,81,0,171,96,0,78,0,0,345
IL -- MCDONOUGH (County),64,29,30,33,80,73,90,103,119,547,6,0,0,0,68,0,4,1,13,12,24,30,42,82,407,6,1,46,38,32,88,168,141,0,96,3,8,0,0,28,12,445,136,0,365,130,0,126,0,0,621
IL -- MCHENRY (County),756,467,559,657,921,1054,928,995,1081,5861,230,7,38,92,1190,0,20,62,222,273,342,404,563,1649,3851,32,10,44,48,64,203,880,1537,272,2792,472,547,340,209,1154,654,4076,1534,3,3668,1939,0,1808,0,0,7418
IL -- MCLEAN (County),197,129,138,170,294,360,322,396,466,2079,50,25,13,21,284,0,9,22,80,73,132,157,195,457,1333,14,10,57,38,72,175,387,527,86,807,78,139,59,37,384,62,1510,516,5,1357,622,0,488,0,0,2472
IL -- MENARD (County),25,15,14,20,35,52,46,48,37,251,4,0,2,0,35,0,0,0,7,3,15,18,16,68,165,0,0,5,4,7,15,56,92,10,87,7,6,3,0,7,5,219,61,0,183,59,0,50,0,0,292
IL -- MERCER (County),35,11,16,29,67,51,39,47,51,292,3,0,0,2,49,0,1,1,8,11,14,16,20,54,219,2,1,15,11,17,39,94,94,8,59,3,2,3,0,9,19,196,122,0,132,122,0,92,0,0,346
IL -- MONROE (County),211,122,159,256,529,471,422,289,261,2252,23,1,3,21,420,0,1,10,34,52,194,168,214,533,1508,6,2,21,20,24,62,276,670,64,1192,99,173,81,36,210,266,1611,633,0,1390,639,0,688,0,3,2720
IL -- MONTGOMERY (County),52,30,39,50,88,102,90,96,125,572,8,1,1,8,82,0,2,5,9,18,36,35,44,112,409,2,4,38,29,50,91,182,135,12,123,6,2,0,0,9,50,417,196,0,340,190,0,142,0,0,672
IL -- MORGAN (County),96,34,38,65,115,97,99,118,113,685,2,2,0,3,83,0,3,8,17,21,31,40,50,127,475,3,4,33,22,31,104,182,197,17,166,4,8,7,0,15,45,540,175,0,470,145,0,160,0,0,775
IL -- MOULTRIE (County),17,14,16,15,38,20,46,43,47,228,1,0,0,1,26,0,1,1,3,10,7,19,15,46,154,0,2,12,12,8,39,72,60,3,43,3,2,0,0,7,9,171,69,0,148,65,0,43,0,0,256
IL -- OGLE (County),84,62,82,86,137,176,144,188,209,998,20,0,3,8,139,0,6,6,24,29,65,57,82,209,688,2,1,41,35,37,114,219,338,39,310,15,11,5,3,56,63,801,248,0,733,233,0,202,0,0,1168
IL -- PEORIA (County),501,230,292,364,571,540,492,519,485,3128,58,302,22,32,452,0,12,36,106,122,202,210,253,697,2344,12,13,197,130,192,427,929,862,74,950,51,110,38,21,380,499,1905,1210,1,1649,1389,0,955,0,0,3994
IL -- PERRY (County),71,56,55,79,168,133,126,101,116,757,2,11,0,2,133,0,0,4,16,21,42,50,70,151,549,2,4,55,34,42,90,279,228,0,160,6,6,0,1,10,58,557,280,0,446,283,0,175,0,1,905
IL -- PIATT (County),25,14,24,18,47,51,52,68,71,324,2,0,1,3,40,0,1,6,10,18,20,20,26,51,218,0,0,11,10,12,28,91,98,7,91,6,10,6,0,5,14,274,77,0,245,57,0,68,0,0,370
IL -- PIKE (County),27,18,23,29,39,48,46,53,50,297,1,0,0,1,34,0,1,4,6,10,13,14,23,42,219,1,0,26,11,20,44,103,65,0,62,0,2,0,0,2,18,239,74,0,189,79,0,65,0,0,333
IL -- POPE (County),1,1,5,4,9,6,6,7,9,41,1,1,0,0,5,0,0,1,0,0,1,1,3,12,30,0,0,5,2,3,4,18,8,0,8,0,0,0,0,0,1,40,7,0,34,9,0,5,0,0,48
IL -- PULASKI (County),17,3,7,6,16,13,22,18,14,85,1,19,0,0,11,0,3,0,2,5,1,2,7,20,76,0,1,13,7,4,33,27,16,0,14,1,0,0,0,3,3,82,28,0,70,26,0,20,0,0,116
IL -- PUTNAM (County),4,6,11,10,13,20,16,14,19,89,1,1,0,3,19,0,0,0,0,6,5,2,5,25,70,0,0,5,3,4,7,34,27,4,23,2,2,2,0,16,10,48,39,0,40,54,0,19,0,0,113
IL -- RANDOLPH (County),151,75,97,156,320,311,305,248,230,1583,10,21,4,10,265,0,4,11,22,23,118,100,144,353,1117,1,2,67,50,67,206,470,526,8,468,13,12,4,0,32,76,1200,585,0,1028,530,0,319,0,16,1893
IL -- RICHLAND (County),51,13,20,23,41,44,54,71,85,356,2,1,1,1,41,0,0,1,15,15,14,25,26,69,236,1,1,30,16,14,51,113,79,5,85,5,3,0,0,1,17,306,78,0,242,73,0,87,0,0,402
IL -- ROCK ISLAND (County),243,185,235,309,552,436,457,424,535,2755,108,49,8,31,425,0,18,32,72,102,146,145,167,576,2112,6,11,172,114,170,432,827,811,88,645,29,55,20,2,434,425,1249,1268,0,1127,1474,0,775,0,0,3376
IL -- SALINE (County),55,30,29,42,77,81,66,71,88,481,3,3,0,3,49,0,3,5,20,16,19,33,38,94,305,6,0,47,34,38,78,145,110,5,74,2,6,0,0,7,34,328,170,0,304,158,0,77,0,0,539
IL -- SANGAMON (County),443,254,299,367,837,684,575,607,624,3919,45,162,16,38,510,0,29,42,132,189,228,265,331,860,2591,23,14,159,110,170,389,844,1018,139,1418,146,170,70,43,449,346,2714,1181,0,2289,1221,0,1180,0,0,4690
IL -- SCHUYLER (County),9,9,4,11,23,28,27,19,24,141,0,1,0,0,12,0,0,1,1,9,5,5,6,31,93,3,6,9,8,11,33,33,34,0,19,1,0,0,0,3,13,107,31,0,98,28,0,28,0,0,154
IL -- SCOTT (County),10,7,9,11,10,14,21,16,37,112,0,1,0,0,22,0,1,0,6,2,3,13,7,28,74,1,1,9,7,3,16,28,35,0,35,0,1,0,0,3,3,106,23,0,92,25,0,18,0,0,135
IL -- SHELBY (County),39,26,21,37,61,51,64,72,98,407,4,0,0,2,56,0,0,2,8,15,18,25,22,86,293,0,3,32,17,31,61,150,83,6,84,2,0,0,0,5,22,326,116,0,280,110,0,79,0,0,469
IL -- ST. CLAIR (County),1525,843,1121,1319,2569,2429,2041,1849,1699,10816,333,2200,50,121,1875,0,46,117,267,396,942,932,1264,3389,8005,37,49,367,300,533,1244,2650,3179,282,4693,693,709,503,193,1250,2123,6950,5072,1,5912,5806,0,3675,0,1,15395
IL -- STARK (County),12,7,6,14,10,18,10,17,19,101,1,0,0,0,11,0,1,2,6,2,3,7,4,27,60,1,0,6,1,4,25,29,26,0,21,0,1,0,0,0,7,85,21,0,69,16,0,27,0,1,113
IL -- STEPHENSON (County),62,60,90,77,131,145,167,196,232,948,12,17,1,6,176,0,1,8,24,21,26,43,46,177,813,1,1,85,52,71,131,253,308,8,228,9,6,5,3,93,44,744,279,0,638,317,0,205,0,0,1160
IL -- TAZEWELL (County),353,234,301,367,507,512,559,532,541,3359,27,1,5,16,498,0,12,24,87,130,163,239,271,729,2236,15,13,137,99,152,420,864,995,68,956,70,82,34,16,142,388,2253,1123,0,1909,1040,0,956,0,1,3906
IL -- UNION (County),36,15,16,23,53,45,34,55,58,287,6,1,2,1,38,0,1,1,11,9,11,12,25,65,195,5,4,32,15,12,50,91,64,0,62,3,1,1,0,5,20,207,103,0,194,98,0,43,0,0,335
IL -- VERMILION (County),229,110,112,147,234,226,198,238,202,1346,21,111,4,13,201,0,4,9,46,48,65,82,116,282,1034,10,3,152,88,128,243,467,301,7,284,12,9,0,2,66,197,967,466,0,790,452,0,454,0,0,1696
IL -- WABASH (County),40,19,12,31,35,30,31,31,49,247,0,0,0,0,31,0,2,0,4,6,11,14,22,48,169,2,5,20,8,30,42,67,58,0,47,0,0,0,1,4,13,194,67,0,159,50,0,69,0,0,278
IL -- WARREN (County),57,30,22,24,59,50,53,54,68,360,3,1,1,2,50,0,1,2,8,15,16,17,29,60,264,5,4,23,23,26,59,121,91,0,67,1,2,0,0,31,23,264,99,0,219,97,0,101,0,0,417
IL -- WASHINGTON (County),45,30,42,55,117,112,120,108,172,612,7,0,2,12,168,0,1,5,8,16,41,38,62,132,498,0,8,19,24,14,66,148,250,0,248,10,12,1,1,12,18,634,137,0,547,134,0,120,0,0,801
IL -- WAYNE (County),21,13,16,21,23,24,24,42,50,202,1,0,0,0,31,0,0,3,2,4,12,14,18,34,147,0,2,20,16,22,38,83,29,0,24,0,0,0,0,1,8,196,29,0,167,36,0,31,0,0,234
IL -- WHITE (County),29,18,17,26,45,44,47,47,66,299,1,0,0,0,39,0,0,3,8,15,11,16,15,50,219,2,0,27,17,12,49,90,82,0,62,0,0,0,0,3,18,235,83,0,196,94,0,49,0,0,339
IL -- WHITESIDE (County),131,82,130,140,232,213,210,192,191,1243,92,4,0,9,173,0,7,5,39,35,55,47,86,291,952,4,8,71,53,79,209,391,378,29,277,10,15,0,1,110,148,795,468,0,631,474,0,416,0,0,1521
IL -- WILL (County),663,749,946,1205,1860,1822,1773,1855,1985,9534,680,467,71,267,1839,0,55,86,370,406,643,829,1148,2804,6500,17,19,123,108,185,535,1666,2586,408,4498,774,901,611,444,2302,1360,6094,3102,0,5715,4489,0,2654,0,0,12858
IL -- WILLIAMSON (County),171,87,105,122,252,230,218,207,230,1436,12,5,1,12,156,0,2,14,57,51,78,76,118,291,932,3,16,103,54,96,219,418,357,29,291,22,14,3,0,78,158,912,474,0,836,472,0,314,0,0,1622
IL -- WINNEBAGO (County),656,391,427,499,764,759,817,922,1108,5135,169,217,20,42,760,0,26,44,167,201,239,304,388,1153,3793,28,25,297,199,261,713,1407,1431,154,1631,73,91,42,19,878,739,3089,1637,0,2835,2043,0,1464,0,1,6343
IL -- WOODFORD (County),71,61,61,82,108,126,142,187,144,832,6,1,2,3,138,0,2,6,18,30,43,62,68,176,571,6,5,16,8,28,68,186,244,23,334,23,20,18,9,42,41,702,197,0,622,177,0,183,0,0,982
IN -- ADAMS (County),59,42,37,73,95,82,83,87,139,591,16,0,1,4,85,0,2,6,9,33,31,30,52,132,401,1,2,25,23,23,82,171,181,0,168,11,9,1,1,53,72,461,111,0,428,134,0,135,0,0,697
IN -- ALLEN (County),1068,564,628,778,1107,1282,1065,920,1291,7082,177,269,38,58,1079,0,44,82,213,364,462,499,667,1612,4743,17,28,216,202,306,778,1769,1859,204,2516,210,275,173,167,1393,1295,4274,1741,0,4587,1995,0,2111,10,0,8703
IN -- BARTHOLOMEW (County),156,66,105,116,140,156,166,180,287,1192,7,1,1,6,165,0,6,13,26,57,48,75,88,241,814,4,0,31,37,40,141,297,292,40,386,22,40,22,24,168,206,748,250,0,820,267,0,285,0,0,1372
IN -- BENTON (County),11,13,12,11,16,16,12,20,27,119,2,0,0,0,17,0,2,1,3,4,7,7,6,27,81,0,0,2,3,8,21,50,23,0,28,3,0,0,0,8,9,100,21,0,94,17,0,27,0,0,138
IN -- BLACKFORD (County),44,23,21,20,20,38,29,37,51,248,4,0,1,0,30,0,0,3,9,11,9,8,18,55,169,1,1,24,10,30,52,67,55,0,43,1,0,0,0,16,37,172,58,0,140,76,0,67,0,0,283
IN -- BOONE (County),133,75,64,110,160,174,163,151,223,1110,6,0,3,4,130,0,6,12,26,53,51,64,87,247,704,3,6,20,10,21,70,230,256,41,318,51,75,70,85,114,147,725,267,0,834,183,0,231,5,0,1253
IN -- BROWN (County),52,21,31,43,53,58,62,50,68,382,5,0,1,0,50,0,3,3,10,10,21,20,35,74,260,2,2,5,10,8,16,134,103,6,118,11,10,12,3,43,41,285,69,0,256,90,0,92,0,0,438
IN -- CARROLL (County),66,36,32,43,48,56,68,52,72,424,3,0,0,3,43,0,3,4,7,15,12,26,42,101,262,1,2,15,15,21,32,119,127,10,121,4,3,3,1,24,44,312,93,0,281,74,0,115,3,0,473
IN -- CASS (County),84,54,48,64,92,113,99,110,127,674,6,1,1,2,107,0,2,8,12,24,36,35,47,138,488,1,1,32,33,57,107,244,157,3,139,12,5,1,0,97,101,472,121,0,463,174,0,154,0,0,791
IN -- CLARK (County),293,156,158,214,277,337,288,301,342,2071,18,24,4,5,244,0,11,22,77,74,103,114,162,441,1360,2,11,78,59,100,265,605,578,74,480,45,40,23,8,444,386,1002,534,0,1105,736,0,525,0,0,2366
IN -- CLAY (County),90,57,44,48,88,77,84,83,122,614,3,0,0,3,73,0,2,4,18,19,32,48,56,118,396,0,1,30,32,37,83,195,151,18,128,10,4,3,1,40,89,456,108,0,420,128,0,145,0,0,693
IN -- CLINTON (County),75,45,47,55,80,82,76,76,129,583,6,1,1,2,72,0,1,12,15,17,20,34,45,115,405,1,2,25,26,22,84,176,150,4,148,13,12,3,0,43,59,448,115,0,434,94,0,135,2,0,665
IN -- CRAWFORD (County),27,17,19,32,26,39,43,27,46,246,2,0,0,1,27,0,1,2,7,9,9,13,21,62,152,0,2,26,13,23,73,53,47,0,37,1,0,1,0,46,4,170,56,0,137,81,0,58,0,0,276
IN -- DAVIESS (County),56,42,38,46,58,64,74,89,81,509,1,0,1,0,37,0,4,5,6,18,25,21,35,105,328,1,2,27,24,46,78,156,95,7,90,12,7,4,0,26,46,385,91,0,361,87,0,99,1,0,548
IN -- DE KALB (County),117,73,92,77,124,125,133,123,192,924,8,0,0,4,120,0,7,9,27,32,44,54,68,223,592,0,3,24,33,27,121,261,264,15,258,14,26,8,2,56,162,657,181,0,642,154,0,259,1,0,1056
IN -- DEARBORN (County),119,77,109,120,182,181,151,138,120,1014,6,0,4,1,172,0,5,10,16,39,48,79,85,205,710,0,2,21,25,29,84,237,309,45,365,26,34,13,7,91,154,680,272,0,687,195,0,315,0,0,1197
IN -- DECATUR (County),39,21,34,40,52,66,61,62,118,418,1,0,0,3,71,0,1,7,7,14,16,27,37,85,299,0,7,24,14,23,48,134,86,12,129,11,3,1,1,24,43,340,86,0,341,63,0,89,0,0,493
IN -- DELAWARE (County),314,151,184,210,292,369,306,306,401,2229,21,58,5,13,207,0,16,24,70,91,105,109,157,467,1490,4,8,136,108,170,354,629,515,17,532,20,30,8,6,463,400,1084,586,0,1206,834,0,492,1,0,2533
IN -- DUBOIS (County),107,48,69,66,124,177,139,114,111,765,4,0,1,0,185,0,2,9,20,26,46,38,59,156,598,1,1,26,22,34,73,213,271,1,260,15,28,6,5,122,160,443,230,0,498,275,0,181,1,0,955
IN -- ELKHART (County),405,215,259,269,348,433,375,364,378,2537,39,26,7,14,423,0,21,32,70,93,135,184,209,575,1720,7,9,90,70,110,310,716,741,58,782,53,61,36,10,393,496,1593,564,0,1740,551,0,754,1,0,3046
IN -- FAYETTE (County),81,38,52,61,73,94,62,72,79,551,1,0,0,2,58,0,4,8,14,17,15,17,47,114,371,5,2,56,28,61,90,163,126,0,75,6,3,0,2,54,17,380,161,0,325,145,0,139,3,0,612
IN -- FLOYD (County),169,113,127,169,251,261,219,219,257,1512,20,8,4,3,238,0,4,20,37,74,82,101,137,345,984,1,2,41,42,52,128,318,402,56,556,54,72,39,23,375,262,761,387,0,834,552,0,398,1,0,1785
IN -- FOUNTAIN (County),48,24,20,26,35,44,50,62,88,359,2,0,1,0,35,0,0,3,7,9,18,15,26,77,240,2,3,17,16,18,61,140,62,0,75,3,2,0,0,17,44,283,53,0,269,67,0,61,0,0,397
IN -- FRANKLIN (County),64,35,54,56,75,93,74,64,97,530,1,0,0,2,79,0,2,1,13,12,21,31,54,119,359,0,1,29,20,27,55,115,148,26,156,15,17,2,1,42,43,398,129,0,400,75,0,137,0,0,612
IN -- FULTON (County),38,32,34,44,53,46,62,66,80,396,3,0,0,6,50,0,0,3,5,14,16,18,34,69,295,1,2,27,13,26,51,124,91,0,106,9,4,1,1,31,57,291,76,0,275,86,0,94,0,0,455
IN -- GIBSON (County),74,28,48,56,74,81,86,94,113,592,0,1,0,3,58,0,0,8,12,19,21,30,52,115,397,0,7,31,23,25,76,176,151,5,130,12,10,7,1,55,96,372,131,0,350,172,0,132,0,0,654
IN -- GRANT (County),216,91,130,142,161,157,160,187,264,1311,14,23,6,4,150,0,5,21,32,44,50,72,91,265,927,1,10,95,61,118,234,435,271,20,243,7,12,1,1,176,84,870,378,0,837,315,0,355,1,0,1508
IN -- GREENE (County),63,32,43,71,48,87,81,71,97,516,3,1,1,1,71,0,0,3,10,20,21,29,43,135,332,0,4,23,27,38,78,183,134,0,99,2,3,2,0,38,53,414,88,0,380,103,0,109,1,0,593
IN -- HAMILTON (County),377,323,408,525,702,828,748,688,861,4636,88,43,46,44,603,0,27,45,128,246,369,375,543,1124,2594,9,13,24,27,40,90,374,726,138,1852,455,570,489,662,911,471,2804,1274,0,3349,978,0,1126,7,0,5460
IN -- HANCOCK (County),174,137,158,216,295,309,284,240,277,1834,29,11,8,8,200,0,14,19,46,90,143,132,172,435,1038,1,5,21,24,33,87,331,503,84,769,75,102,36,20,214,239,1126,511,0,1328,314,0,448,0,0,2090
IN -- HARRISON (County),117,76,69,100,130,137,127,145,201,960,10,1,2,2,127,0,6,10,30,44,59,62,73,211,607,0,4,28,36,34,100,289,278,33,259,21,12,6,2,96,124,635,247,0,594,269,0,230,9,0,1102
IN -- HENDRICKS (County),331,261,320,390,537,584,532,422,425,3254,43,41,15,24,425,0,25,42,78,148,200,265,348,815,1874,7,9,37,33,47,150,451,872,114,1511,177,198,136,67,627,384,1841,950,0,2237,695,0,868,2,0,3802
IN -- HENRY (County),144,59,80,100,115,146,129,143,227,1034,2,0,2,4,101,0,7,15,21,37,32,41,66,221,701,2,1,60,39,69,164,342,237,2,194,18,14,3,0,66,133,744,200,0,685,226,0,232,0,0,1143
IN -- HOWARD (County),233,112,149,193,269,322,257,238,272,1787,25,32,1,9,191,0,10,15,58,54,89,82,159,430,1145,3,14,82,56,105,264,495,448,54,448,21,38,13,7,316,257,1074,398,0,1101,512,0,432,0,0,2045
IN -- HUNTINGTON (County),87,48,64,75,90,106,108,123,183,771,9,0,1,4,99,0,2,7,14,22,42,44,58,164,530,1,2,37,25,46,86,231,208,7,213,10,14,2,3,41,77,600,166,0,569,128,0,187,0,0,884
IN -- JACKSON (County),109,48,70,69,121,101,131,122,147,804,4,3,1,2,104,0,6,5,25,19,38,43,62,150,569,1,1,36,32,38,123,233,226,16,176,18,12,6,1,57,154,546,161,0,520,203,0,190,5,0,918
IN -- JASPER (County),77,59,69,80,85,97,93,84,119,609,13,0,1,12,128,0,4,5,14,27,37,48,63,165,397,3,3,15,19,15,59,189,192,22,220,10,12,5,2,85,80,426,172,0,446,152,0,165,0,0,763
IN -- JAY (County),35,19,25,28,34,48,33,60,125,349,3,1,1,2,51,0,6,3,6,6,17,15,24,72,258,0,2,38,18,19,71,119,62,0,74,1,2,0,1,12,36,287,72,0,261,84,0,62,0,0,407
IN -- JEFFERSON (County),70,40,55,51,80,85,83,67,121,594,4,1,4,0,49,0,0,11,16,25,16,30,54,100,400,0,5,27,15,38,83,216,126,0,120,13,6,2,1,59,114,345,134,0,320,190,0,139,3,0,652
IN -- JENNINGS (County),65,33,39,55,79,70,63,86,94,521,3,0,0,0,60,0,2,4,14,12,32,30,44,106,340,0,2,38,25,24,88,139,141,7,112,7,0,1,0,48,23,406,107,0,342,132,0,110,0,0,584
IN -- JOHNSON (County),396,236,286,337,465,447,416,397,408,2977,34,2,12,19,344,0,13,48,79,134,170,219,274,691,1745,15,14,32,59,60,225,595,847,94,1073,125,124,77,63,382,477,1689,840,0,2031,499,0,856,2,0,3388
